"","sample.id","extraction.id","dna.extraction.batch","nanodrop.dna.concentration.ng.per.uL","A260.A280","A230.A260","DNA.volume.sent.for.library.prep.in.uL","water.volume.added.to.dilute.DNA.in.uL","DNA.concentration.sent.to.Dalhousie.nanodrop.ng.per.uL","sequencing.batch","plate.batch","sample.type","country","replicate","read_depth_afterDADA2","read.depth.compared.to.blanks","read_depth_afterTaxaRemoval","bead.basher.used","visit"
"83","D173","CD128O.3",12,75.56,1.96,1.936,15,0,75.56,1,2,"stool","Denmark","no",23136,"above",23136,"old","3"
"84","D174","CD128O.4",12,174.32,1.901,2.184,15,0,174.32,1,2,"stool","Denmark","no",18412,"above",18412,"old","4"
"87","D177","CD130J.2",13,27.134,2.003,2.032,15,0,27.134,1,2,"stool","Denmark","no",41449,"above",41449,"old","2"
"88","D178","CD130J.3",13,39.405,1.958,1.925,15,0,39.405,1,2,"stool","Denmark","no",43855,"above",43855,"old","3"
"89","D179","CD130J.4",13,68.814,1.928,1.463,15,0,68.814,1,2,"stool","Denmark","no",16631,"above",16631,"old","4"
"90","D18","CD010A.2",9,63.109,1.929,1.991,15,0,63.109,1,1,"stool","Denmark","no",22673,"above",22673,"old","2"
"94","D183","CD137M.2",13,62.868,1.901,2.059,15,0,62.868,1,2,"stool","Denmark","no",27997,"above",27997,"old","2"
"95","D184","CD137M.3",13,42.545,1.951,1.926,15,0,42.545,1,2,"stool","Denmark","no",31568,"above",31568,"old","3"
"96","D185","CD137M.4",13,193.363,1.915,2.121,15,0,193.363,1,2,"stool","Denmark","no",43786,"above",43786,"old","4"
"97","D186","CD139Y.2",13,20.361,2.104,1.733,15,0,20.361,1,2,"stool","Denmark","no",31368,"above",31368,"old","2"
"98","D187","CD139Y.3",13,245.488,1.9,2.15,14.6646679267418,0.335332073258163,240,1,2,"stool","Denmark","no",23810,"above",23810,"old","3"
"99","D188","CD139Y.4",13,105.738,1.942,2.059,15,0,105.738,1,2,"stool","Denmark","no",18621,"above",18621,"old","4"
"100","D189","CD140A.2",13,11.378,2.679,1.164,15,0,11.378,1,2,"stool","Denmark","no",37000,"above",37000,"old","2"
"101","D19","CD010A.3",9,103.406,1.939,2.001,15,0,103.406,1,1,"stool","Denmark","no",7104,"below",7104,"old","3"
"102","D190","CD140A.3",13,49.407,2.004,1.932,15,0,49.407,1,2,"stool","Denmark","no",22354,"above",22354,"old","3"
"103","D191","CD140A.4",13,6.321,2.385,0.769,15,0,6.321,1,2,"stool","Denmark","no",15628,"above",15628,"old","4"
"107","D196","CD146K.2",13,40.988,2.053,1.7,15,0,40.988,1,3,"stool","Denmark","no",40306,"above",40306,"old","2"
"108","D197","CD146K.3",13,38.882,2.032,1.705,15,0,38.882,1,3,"stool","Denmark","no",39510,"above",39510,"old","3"
"109","D198","CD146K.4",13,208.912,1.91,2.114,15,0,208.912,1,3,"stool","Denmark","no",12797,"above",12797,"old","4"
"112","D20","CD010A.4",9,181.602,1.916,2.006,15,0,181.602,1,1,"stool","Denmark","no",12007,"below",12007,"old","4"
"113","D200","CD149P.2",14,83.237,1.883,2.07,15,0,83.237,1,3,"stool","Denmark","no",14967,"above",14967,"old","2"
"114","D201","CD149P.3",14,48.319,1.898,2.095,15,0,48.319,1,3,"stool","Denmark","no",56887,"above",56887,"old","3"
"115","D202","CD149P.4",14,118.817,1.869,1.818,15,0,118.817,1,3,"stool","Denmark","no",25231,"above",25231,"old","4"
"116","D203","CD150R.2",14,50.775,1.833,1.798,15,0,50.775,1,3,"stool","Denmark","no",16909,"above",16909,"old","2"
"117","D204","CD150R.3",14,9.723,1.702,1.402,15,0,9.723,1,3,"stool","Denmark","no",33660,"above",33660,"old","3"
"118","D205","CD150R.4",14,96.877,1.839,2.095,15,0,96.877,1,3,"stool","Denmark","no",25802,"above",25802,"old","4"
"119","D206","CD157U.2",14,69.322,1.848,1.978,15,0,69.322,1,3,"stool","Denmark","no",34875,"above",34875,"old","2"
"120","D207","CD157U.3",14,74.14,1.861,2.161,15,0,74.14,1,3,"stool","Denmark","no",32179,"above",32179,"old","3"
"121","D208","CD157U.4",14,83.888,1.849,2.071,15,0,83.888,1,3,"stool","Denmark","no",8998,"below",8998,"old","4"
"122","D209","CD159G.2",14,38.88,1.886,1.832,15,0,38.88,1,3,"stool","Denmark","no",43728,"above",43728,"old","2"
"123","D21","CD014Y.2",9,23.735,2.176,1.762,15,0,23.735,1,1,"stool","Denmark","no",36776,"above",36776,"old","2"
"124","D210","CD159G.3",14,35.722,1.87,1.822,15,0,35.722,1,3,"stool","Denmark","no",22044,"above",22044,"old","3"
"125","D211","CD159G.4",14,182.285,1.881,2.14,15,0,182.285,1,3,"stool","Denmark","no",13104,"above",13104,"old","4"
"126","D212","CD168E.2",14,110.498,1.891,2.188,15,0,110.498,1,3,"stool","Denmark","no",9930,"below",9930,"old","2"
"127","D213","CD168E.3",14,35.502,1.895,1.95,15,0,35.502,1,3,"stool","Denmark","no",29721,"above",29708,"old","3"
"128","D214","CD168E.4",14,94.274,1.826,2.111,15,0,94.274,1,3,"stool","Denmark","no",52456,"above",52456,"old","4"
"133","D219","CD171S.2",14,95.168,1.883,2.055,15,0,95.168,1,3,"stool","Denmark","no",33322,"above",33322,"old","2"
"134","D22","CD014Y.3",9,43.179,2.052,1.909,15,0,43.179,1,1,"stool","Denmark","no",27501,"above",27501,"old","3"
"135","D220","CD171S.3",14,43.489,1.878,1.909,15,0,43.489,1,3,"stool","Denmark","no",18405,"above",18405,"old","3"
"136","D221","CD171S.4",14,192.748,1.865,1.972,15,0,192.748,1,3,"stool","Denmark","no",14724,"above",14724,"old","4"
"137","D222","CD172L.2",14,124.612,1.857,2.044,15,0,124.612,1,3,"stool","Denmark","no",14213,"above",14213,"old","2"
"138","D223","CD172L.3",14,169.026,1.882,2.099,15,0,169.026,1,3,"stool","Denmark","no",9780,"below",9780,"old","3"
"139","D224","CD172L.4",14,127.273,1.876,2.024,15,0,127.273,1,3,"stool","Denmark","no",17736,"above",17736,"old","4"
"140","D225","CD176J.2",14,7.883,1.718,0.981,15,0,7.883,1,3,"stool","Denmark","no",42812,"above",42812,"old","2"
"141","D226","CD176J.3",14,51.651,1.937,1.952,15,0,51.651,1,3,"stool","Denmark","no",21629,"above",21629,"old","3"
"142","D227","CD176J.4",14,102.915,1.856,2.005,15,0,102.915,1,3,"stool","Denmark","no",52370,"above",52370,"old","4"
"143","D228","CD177C.2",14,108.688,1.922,2.082,15,0,108.688,1,3,"stool","Denmark","no",13867,"above",13867,"old","2"
"144","D229","CD177C.3",14,72.077,1.9,2.041,15,0,72.077,1,3,"stool","Denmark","no",26353,"above",26353,"old","3"
"145","D23","CD014Y.4",9,1.834,-1.823,0.336,15,0,1.834,1,1,"stool","Denmark","no",15247,"above",11175,"old","4"
"146","D230","CD177C.4",14,195.649,1.876,1.999,15,0,195.649,1,3,"stool","Denmark","no",9526,"below",9526,"old","4"
"147","D231","CD182C.2",14,139.199,1.908,2.124,15,0,139.199,1,3,"stool","Denmark","no",14668,"above",14666,"old","2"
"148","D232","CD182C.3",14,144.812,1.91,2.173,15,0,144.812,1,3,"stool","Denmark","no",32572,"above",32572,"old","3"
"149","D233","CD182C.4",14,74.852,1.883,2.071,15,0,74.852,1,3,"stool","Denmark","no",19850,"above",19850,"old","4"
"150","D234","CD183V.2",14,48.8,1.883,1.9,15,0,48.8,1,3,"stool","Denmark","no",31308,"above",31308,"old","2"
"151","D235","CD183V.3",14,37.56,1.87,1.745,15,0,37.56,1,3,"stool","Denmark","no",24702,"above",24702,"old","3"
"152","D236","CD183V.4",14,27.636,1.879,1.42,15,0,27.636,1,3,"stool","Denmark","no",10891,"below",10891,"old","4"
"153","D237","CD188M.2",14,60.562,1.962,1.904,15,0,60.562,1,3,"stool","Denmark","no",13210,"above",13210,"old","2"
"154","D238","CD188M.3",14,80.952,1.936,2.099,15,0,80.952,1,3,"stool","Denmark","no",24934,"above",24934,"old","3"
"155","D239","CD188M.4",14,8.33,2.371,0.93,15,0,8.33,1,3,"stool","Denmark","no",27469,"above",27457,"old","4"
"156","D24","CD018W.2",9,102.035,1.96,2.192,15,0,102.035,1,1,"stool","Denmark","no",13856,"above",13856,"old","2"
"160","D243","CD190H.2",14,35.448,1.924,1.893,15,0,35.448,1,3,"stool","Denmark","no",38646,"above",38646,"old","2"
"161","D244","CD190H.3",14,83.385,1.944,2.084,15,0,83.385,1,3,"stool","Denmark","no",18012,"above",18012,"old","3"
"162","D245","CD190H.4",14,23.396,1.995,1.658,15,0,23.396,1,3,"stool","Denmark","no",24240,"above",24228,"old","4"
"164","D247","CD191A.2",15,8.32,1.863,1.542,15,0,8.32,1,3,"stool","Denmark","no",69237,"above",69237,"old","2"
"165","D248","CD191A.3",15,36.121,1.834,2.126,15,0,36.121,1,3,"stool","Denmark","no",75724,"above",75724,"old","3"
"166","D249","CD191A.4",15,69.65,1.863,2.141,15,0,69.65,1,3,"stool","Denmark","no",33972,"above",33972,"old","4"
"167","D25","CD018W.3",9,103.577,1.938,2.131,15,0,103.577,1,1,"stool","Denmark","no",19484,"above",19484,"old","3"
"168","D250","CD199W.2",15,79.1,1.89,2.007,15,0,79.1,1,3,"stool","Denmark","no",22840,"above",22840,"old","2"
"169","D251","CD199W.3",15,60.888,1.891,2.084,15,0,60.888,1,3,"stool","Denmark","no",16616,"above",16616,"old","3"
"170","D252","CD199W.4",15,74.263,1.89,2.117,15,0,74.263,1,3,"stool","Denmark","no",26774,"above",26774,"old","4"
"171","D253","CD201E.2",15,47.921,1.888,1.921,15,0,47.921,1,3,"stool","Denmark","no",34801,"above",34801,"old","2"
"172","D254","CD201E.3",15,70.207,1.871,2.161,15,0,70.207,1,3,"stool","Denmark","no",20627,"above",20627,"old","3"
"173","D255","CD201E.4",15,143.675,1.895,2.179,15,0,143.675,1,3,"stool","Denmark","no",13757,"above",13757,"old","4"
"178","D26","CD018W.4",9,170.67,1.885,1.993,15,0,170.67,1,1,"stool","Denmark","no",11282,"below",11282,"old","4"
"181","D262","CD210C.2",15,130.892,1.9,2.161,15,0,130.892,1,3,"stool","Denmark","no",17377,"above",17377,"old","2"
"182","D263","CD210C.3",15,207.564,1.897,2.213,15,0,207.564,1,3,"stool","Denmark","no",12326,"above",12326,"old","3"
"183","D264","CD210C.4",15,135.921,1.874,2.186,15,0,135.921,1,3,"stool","Denmark","no",52484,"above",52484,"old","4"
"185","D266","CD211V.2",15,113.208,1.891,2.158,15,0,113.208,1,3,"stool","Denmark","no",13125,"above",13125,"old","2"
"186","D267","CD211V.3",15,67.874,1.921,2.028,15,0,67.874,1,3,"stool","Denmark","no",19957,"above",19957,"old","3"
"187","D268","CD211V.4",15,117.996,1.937,2.153,15,0,117.996,1,3,"stool","Denmark","no",13433,"above",13431,"old","4"
"192","D272","CD223Y.2",15,133.121,1.922,2.197,15,0,133.121,1,3,"stool","Denmark","no",19460,"above",19443,"old","2"
"193","D273","CD223Y.3",15,64.902,1.961,2.149,15,0,64.902,1,3,"stool","Denmark","no",25648,"above",25646,"old","3"
"194","D274","CD223Y.4",15,91.607,1.947,2.117,15,0,91.607,1,3,"stool","Denmark","no",47023,"above",47023,"old","4"
"195","D275","CD224R.2",15,160.262,1.905,2.237,15,0,160.262,1,3,"stool","Denmark","no",29757,"above",29757,"old","2"
"196","D276","CD224R.3",15,117.222,1.94,2.135,15,0,117.222,1,3,"stool","Denmark","no",11421,"below",11421,"old","3"
"197","D277","CD224R.4",15,135.911,1.919,2.116,15,0,135.911,1,3,"stool","Denmark","no",17252,"above",17252,"old","4"
"198","D278","CD238G.2",15,47.37,1.944,2.095,15,0,47.37,1,3,"stool","Denmark","no",47943,"above",47943,"old","2"
"199","D279","CD238G.3",15,154.291,1.925,2.203,15,0,154.291,1,3,"stool","Denmark","no",12202,"above",12202,"old","3"
"201","D280","CD238G.4",15,184.953,1.921,2.165,1.62203370586041,13.3779662941396,20,1,3,"stool","Denmark","yes",28951,"above",28951,"old","4"
"202","D281","CD245S.2",15,37.306,1.923,1.978,15,0,37.306,1,3,"stool","Denmark","no",123521,"above",123521,"old","2"
"203","D282","CD245S.3",15,62.794,1.913,2.19,15,0,62.794,1,3,"stool","Denmark","no",46076,"above",46076,"old","3"
"204","D283","CD245S.4",15,63.316,1.961,2.102,15,0,63.316,1,3,"stool","Denmark","no",37191,"above",37191,"old","4"
"205","D284","CD250S.2",15,53.49,1.96,2.022,15,0,53.49,1,3,"stool","Denmark","no",82115,"above",82115,"old","2"
"206","D285","CD250S.3",15,186.861,1.899,2.097,15,0,186.861,1,3,"stool","Denmark","no",36037,"above",36037,"old","3"
"207","D286","CD250S.4",15,61.029,1.94,1.337,15,0,61.029,1,3,"stool","Denmark","no",57012,"above",57012,"old","4"
"209","D289","CD257V.2x",24,18.554,2.287,2.035,15,0,18.554,1,4,"stool","Denmark","no",13959,"above",13959,"new","2"
"211","D290","CD257V.3",15,122.657,1.948,2.225,15,0,122.657,1,4,"stool","Denmark","no",12793,"above",12793,"old","3"
"212","D291","CD257V.4",15,125.5,1.937,2.167,15,0,125.5,1,4,"stool","Denmark","no",19230,"above",19230,"old","4"
"217","D296","CD259H.2",16,34.478,1.91,2.194,15,0,34.478,1,4,"stool","Denmark","no",35900,"above",35900,"old","2"
"218","D297","CD259H.3",16,63.065,1.938,2.148,15,0,63.065,1,4,"stool","Denmark","no",25020,"above",25020,"old","3"
"219","D298","CD259H.4",16,72.809,1.972,2.069,15,0,72.809,1,4,"stool","Denmark","no",23739,"above",23739,"old","4"
"220","D299","CD261C.2",16,15.162,2.086,1.265,15,0,15.162,1,4,"stool","Denmark","no",31807,"above",31807,"old","2"
"221","D3","CD003O.2",9,31.031,1.95,1.989,15,0,31.031,1,1,"stool","Denmark","no",15334,"above",15334,"old","2"
"223","D300","CD261C.3",16,50.116,1.947,2.045,15,0,50.116,1,4,"stool","Denmark","no",20040,"above",20040,"old","3"
"224","D301","CD261C.4",16,56.511,1.918,2.053,15,0,56.511,1,4,"stool","Denmark","no",29344,"above",29069,"old","4"
"225","D302","CD271T.2",16,21.499,2.045,1.942,15,0,21.499,1,4,"stool","Denmark","no",32680,"above",32680,"old","2"
"226","D303","CD271T.3",16,17.811,2.073,1.879,15,0,17.811,1,4,"stool","Denmark","no",35225,"above",35225,"old","3"
"227","D304","CD271T.4",16,125.971,1.901,2.004,15,0,125.971,1,4,"stool","Denmark","no",43421,"above",43421,"old","4"
"228","D305","CD273F.2",16,96.624,1.913,2.172,15,0,96.624,1,4,"stool","Denmark","no",63989,"above",63989,"old","2"
"229","D306","CD273F.3",16,114.474,1.892,2.212,15,0,114.474,1,4,"stool","Denmark","no",34559,"above",34559,"old","3"
"230","D307","CD273F.4",16,39.595,2.077,1.871,15,0,39.595,1,4,"stool","Denmark","no",29093,"above",29093,"old","4"
"231","D308","CD276K.2",16,77.576,1.926,2.062,15,0,77.576,1,4,"stool","Denmark","no",26203,"above",26203,"old","2"
"232","D309","CD276K.3",16,84.734,1.914,2.164,15,0,84.734,1,4,"stool","Denmark","no",18889,"above",18889,"old","3"
"233","D31","CD029G.2",10,63.685,1.913,1.933,15,0,63.685,1,1,"stool","Denmark","no",52681,"above",52681,"old","2"
"234","D310","CD276K.4",16,140.558,1.873,1.652,15,0,140.558,1,4,"stool","Denmark","no",16549,"above",16549,"old","4"
"235","D311","CD279P.2",16,65.738,1.944,2.091,15,0,65.738,1,4,"stool","Denmark","no",12104,"above",12104,"old","2"
"236","D312","CD279P.3",16,98.491,1.902,2.215,15,0,98.491,1,4,"stool","Denmark","no",21965,"above",21965,"old","3"
"237","D313","CD279P.4",16,67.651,1.88,2.068,15,0,67.651,1,4,"stool","Denmark","no",56842,"above",56842,"old","4"
"239","D315","CD280R.2",16,93.941,1.904,2.046,15,0,93.941,1,4,"stool","Denmark","no",28764,"above",28764,"old","2"
"240","D316","CD280R.3",16,43.301,1.893,2.164,15,0,43.301,1,4,"stool","Denmark","no",76583,"above",76583,"old","3"
"241","D317","CD280R.4",16,101.36,1.907,2.137,15,0,101.36,1,4,"stool","Denmark","no",21757,"above",21757,"old","4"
"242","D318","CD281K.2",16,98.894,1.859,2.29,15,0,98.894,1,4,"stool","Denmark","no",25221,"above",25221,"old","2"
"243","D319","CD281K.3",16,47.025,1.872,2.172,15,0,47.025,1,4,"stool","Denmark","no",53559,"above",53559,"old","3"
"244","D32","CD029G.3",10,57.681,1.922,1.916,15,0,57.681,1,1,"stool","Denmark","no",15633,"above",15633,"old","3"
"245","D320","CD281K.4",16,50.964,1.873,2.075,15,0,50.964,1,4,"stool","Denmark","no",24750,"above",24750,"old","4"
"246","D321","CD284P.2",16,62.845,1.872,2.27,15,0,62.845,1,4,"stool","Denmark","no",31659,"above",31659,"old","2"
"247","D322","CD284P.3",16,52.608,1.885,2.168,15,0,52.608,1,4,"stool","Denmark","no",30502,"above",30502,"old","3"
"248","D323","CD284P.4",16,170.34,1.874,2.18,15,0,170.34,1,4,"stool","Denmark","no",19494,"above",19494,"old","4"
"249","D324","CD285I.2",16,14.919,1.876,2.213,15,0,14.919,1,4,"stool","Denmark","no",17491,"above",17491,"old","2"
"250","D325","CD285I.3",16,114.826,1.872,2.263,15,0,114.826,1,4,"stool","Denmark","no",24772,"above",24772,"old","3"
"251","D326","CD285I.4",16,78.522,1.891,2.178,15,0,78.522,1,4,"stool","Denmark","no",28313,"above",28313,"old","4"
"252","D327","CD287U.2",16,41.076,1.819,2.176,15,0,41.076,1,4,"stool","Denmark","no",56479,"above",56479,"old","2"
"253","D328","CD287U.3",16,135.002,1.874,2.226,15,0,135.002,1,4,"stool","Denmark","no",17502,"above",17502,"old","3"
"254","D329","CD287U.4",16,59.717,1.854,2.261,15,0,59.717,1,4,"stool","Denmark","no",28554,"above",28546,"old","4"
"255","D33","CD029G.4",10,79.958,1.926,1.923,15,0,79.958,1,1,"stool","Denmark","no",17434,"above",17434,"old","4"
"256","D330","CD293N.2",16,177.999,1.865,2.285,15,0,177.999,1,4,"stool","Denmark","no",31447,"above",31447,"old","2"
"257","D331","CD293N.3",16,129.522,1.871,2.235,15,0,129.522,1,4,"stool","Denmark","no",83762,"above",83762,"old","3"
"258","D332","CD293N.4",16,59.219,1.834,2.164,15,0,59.219,1,4,"stool","Denmark","no",19319,"above",19305,"old","4"
"259","D333","CD296S.2",16,40.835,1.811,2.154,15,0,40.835,1,4,"stool","Denmark","no",8653,"below",8653,"old","2"
"260","D334","CD296S.3",16,67.924,1.846,2.197,15,0,67.924,1,4,"stool","Denmark","no",15434,"above",15434,"old","3"
"261","D335","CD296S.4",16,132.215,1.872,2.224,15,0,132.215,1,4,"stool","Denmark","no",37285,"above",37285,"old","4"
"262","D336","CD299X.2",16,25.216,1.771,2.388,15,0,25.216,1,4,"stool","Denmark","no",42818,"above",42818,"old","2"
"263","D337","CD299X.3",16,24.486,1.877,1.934,15,0,24.486,1,4,"stool","Denmark","no",18642,"above",18642,"old","3"
"264","D338","CD299X.4",16,20.474,1.754,2.07,15,0,20.474,1,4,"stool","Denmark","no",48071,"above",48071,"old","4"
"265","D339","CD303R.2",16,75.375,1.863,2.276,15,0,75.375,1,4,"stool","Denmark","no",40860,"above",40860,"old","2"
"266","D34","CD030I.2x",24,77.451,1.954,2.215,15,0,77.451,1,1,"stool","Denmark","no",12815,"above",12815,"new","2"
"267","D340","CD303R.3",16,53.495,1.811,1.764,15,0,53.495,1,4,"stool","Denmark","no",34983,"above",34983,"old","3"
"268","D341","CD303R.4",16,192.921,1.849,2.155,15,0,192.921,1,4,"stool","Denmark","no",14709,"above",14709,"old","4"
"270","D343","CD305D.2",17,20.555,1.828,1.761,15,0,20.555,1,4,"stool","Denmark","no",35005,"above",35005,"old","2"
"271","D344","CD305D.3",17,15.147,1.783,1.516,15,0,15.147,1,4,"stool","Denmark","no",44479,"above",44479,"old","3"
"272","D345","CD305D.4",17,63.033,1.88,2.052,15,0,63.033,1,4,"stool","Denmark","no",46050,"above",46050,"old","4"
"273","D346","CD309B.2",17,85.362,1.891,2.032,15,0,85.362,1,4,"stool","Denmark","no",26340,"above",26340,"old","2"
"274","D347","CD309B.3",17,54.838,1.875,1.977,15,0,54.838,1,4,"stool","Denmark","no",33631,"above",33631,"old","3"
"275","D348","CD309B.4",17,41.936,1.838,1.879,15,0,41.936,1,4,"stool","Denmark","no",23321,"above",23321,"old","4"
"276","D349","CD312P.2",17,8.162,1.799,1.059,15,0,8.162,1,4,"stool","Denmark","no",27676,"above",27676,"old","2"
"277","D35","CD030I.3",10,63.056,1.947,1.769,15,0,63.056,1,1,"stool","Denmark","no",9539,"below",9539,"old","3"
"278","D350","CD312P.3",17,23.777,1.788,1.719,15,0,23.777,1,4,"stool","Denmark","no",37905,"above",37905,"old","3"
"279","D351","CD312P.4",17,77.959,1.885,2.094,15,0,77.959,1,4,"stool","Denmark","no",17173,"above",17173,"old","4"
"280","D352","CD318Z.2",17,86.284,1.838,2.195,15,0,86.284,1,4,"stool","Denmark","no",47529,"above",47529,"old","2"
"281","D353","CD318Z.3",17,152.241,1.88,2.132,15,0,152.241,1,4,"stool","Denmark","no",21243,"above",21243,"old","3"
"282","D354","CD318Z.4",17,231.91,1.872,1.833,15,0,231.91,1,4,"stool","Denmark","no",17204,"above",17204,"old","4"
"283","D355","CD329J.2",17,136.379,1.878,2.127,15,0,136.379,1,4,"stool","Denmark","no",28812,"above",28812,"old","2"
