"","sample.id","extraction.id","dna.extraction.batch","nanodrop.dna.concentration.ng.per.uL","A260.A280","A230.A260","DNA.volume.sent.for.library.prep.in.uL","water.volume.added.to.dilute.DNA.in.uL","DNA.concentration.sent.to.Dalhousie.nanodrop.ng.per.uL","sequencing.batch","plate.batch","sample.type","country","replicate","read_depth_afterDADA2","read.depth.compared.to.blanks","read_depth_afterTaxaRemoval","bead.basher.used","visit"
"284","D356","CD329J.3",17,93.609,1.873,2.051,15,0,93.609,1,4,"stool","Denmark","no",35573,"above",35573,"old","3"
"285","D357","CD329J.4",17,104.929,1.87,1.87,15,0,104.929,1,4,"stool","Denmark","no",18983,"above",18983,"old","4"
"286","D358","CD335C.2",17,98.78,1.871,2.038,15,0,98.78,1,4,"stool","Denmark","no",19234,"above",19234,"old","2"
"287","D359","CD335C.3",17,138.42,1.884,2.147,15,0,138.42,1,4,"stool","Denmark","no",9207,"below",9207,"old","3"
"288","D36","CD030I.4",10,95.009,1.934,1.993,15,0,95.009,1,1,"stool","Denmark","no",18783,"above",18783,"old","4"
"289","D360","CD335C.4",17,238.685,1.864,2.093,15,0,238.685,1,4,"stool","Denmark","no",18650,"above",18650,"old","4"
"290","D361","CD337O.2",17,20.073,1.79,1.631,15,0,20.073,1,4,"stool","Denmark","no",44846,"above",44846,"old","2"
"291","D362","CD337O.3",17,49.875,1.831,1.851,15,0,49.875,1,4,"stool","Denmark","no",51672,"above",51672,"old","3"
"292","D363","CD337O.4",17,44.081,1.806,1.777,15,0,44.081,1,4,"stool","Denmark","no",78510,"above",78510,"old","4"
"294","D365","CD355K.2",18,34.877,1.927,2.087,15,0,34.877,1,4,"stool","Denmark","no",40597,"above",40597,"new","2"
"295","D366","CD355K.3",18,30.523,1.98,1.608,15,0,30.523,1,4,"stool","Denmark","no",30112,"above",30112,"new","3"
"296","D367","CD355K.4",18,92.514,1.858,2.207,15,0,92.514,1,4,"stool","Denmark","no",39945,"above",39945,"new","4"
"297","D368","CD356D.2",18,47.723,1.943,1.404,15,0,47.723,1,4,"stool","Denmark","no",23745,"above",23745,"new","2"
"298","D369","CD356D.3",18,78.796,1.941,1.564,15,0,78.796,1,4,"stool","Denmark","no",50861,"above",50838,"new","3"
"299","D37","CD031B.2",10,46.632,1.916,1.687,15,0,46.632,1,1,"stool","Denmark","no",27379,"above",27379,"old","2"
"300","D370","CD356D.4",18,62.425,1.95,2.178,15,0,62.425,1,4,"stool","Denmark","no",18874,"above",18874,"new","4"
"301","D371","CD363P.2",18,97.532,1.873,1.787,15,0,97.532,1,4,"stool","Denmark","no",78010,"above",78010,"new","2"
"302","D372","CD363P.3",18,40.038,2.03,2.025,15,0,40.038,1,4,"stool","Denmark","no",28288,"above",28288,"new","3"
"303","D373","CD363P.4",18,89.913,1.919,1.821,15,0,89.913,1,4,"stool","Denmark","no",26469,"above",26469,"new","4"
"307","D377","CD368G.2",18,43.274,1.904,2.111,15,0,43.274,1,4,"stool","Denmark","no",52469,"above",52469,"new","2"
"308","D378","CD368G.3",18,75.917,1.941,2.252,15,0,75.917,1,4,"stool","Denmark","no",67238,"above",67238,"new","3"
"309","D379","CD368G.4",18,235.41,1.88,1.942,15,0,235.41,1,4,"stool","Denmark","no",20035,"above",20035,"new","4"
"310","D38","CD031B.3",10,24.433,1.943,1.62,15,0,24.433,1,1,"stool","Denmark","no",36877,"above",36877,"old","3"
"311","D380","CD370B.2",18,79.477,1.9,2.01,15,0,79.477,1,4,"stool","Denmark","no",78730,"above",78730,"new","2"
"312","D381","CD370B.3",18,101.966,1.936,2.133,15,0,101.966,1,4,"stool","Denmark","no",67704,"above",67704,"new","3"
"313","D382","CD370B.4",18,45.147,1.93,2.064,15,0,45.147,1,4,"stool","Denmark","no",50123,"above",50123,"new","4"
"316","D386","CD372N.2",18,186.131,1.871,2.028,15,0,186.131,2,5,"stool","Denmark","no",29363,"above",29363,"new","2"
"317","D387","CD372N.3",18,210.745,1.899,2.175,15,0,210.745,2,5,"stool","Denmark","no",18052,"above",18052,"new","3"
"318","D388","CD372N.4",18,95.209,1.904,2.005,15,0,95.209,2,5,"stool","Denmark","no",29675,"above",29675,"new","4"
"319","D389","CD376L.2",18,44.123,2.015,1.789,15,0,44.123,2,5,"stool","Denmark","no",40806,"above",40806,"new","2"
"320","D39","CD031B.4",10,29.752,1.92,1.428,15,0,29.752,1,1,"stool","Denmark","no",52454,"above",52454,"old","4"
"321","D390","CD376L.3",18,175.454,1.876,1.96,15,0,175.454,2,5,"stool","Denmark","no",38545,"above",38545,"new","3"
"322","D391","CD376L.4",18,138.175,1.864,1.856,15,0,138.175,2,5,"stool","Denmark","no",24165,"above",24165,"new","4"
"323","D392","CD378X.2",18,22.502,1.832,1.754,15,0,22.502,2,5,"stool","Denmark","no",17177,"above",17177,"new","2"
"324","D393","CD379Q.2",18,148.613,1.898,2.105,15,0,148.613,2,5,"stool","Denmark","no",27150,"above",27150,"new","2"
"325","D394","CD380S.2",18,34.534,1.827,1.856,15,0,34.534,2,5,"stool","Denmark","no",34862,"above",34862,"new","2"
"326","D395","CD382E.2",18,8.055,1.88,0.932,15,0,8.055,2,5,"stool","Denmark","no",43202,"above",43202,"new","2"
"327","D396","CD378X.3",18,113.802,1.898,1.93,15,0,113.802,2,5,"stool","Denmark","no",26199,"above",26199,"new","3"
"328","D397","CD379Q.3",18,113.1,1.94,2.105,15,0,113.1,2,5,"stool","Denmark","no",11565,"below",11565,"new","3"
"329","D398","CD380S.3",18,187.597,1.876,2.074,15,0,187.597,2,5,"stool","Denmark","no",13760,"above",13760,"new","3"
"330","D399","CD382E.3",18,15.872,1.792,1.29,15,0,15.872,2,5,"stool","Denmark","no",42983,"above",42983,"new","3"
"331","D4","CD003O.3",9,39.269,1.981,1.725,15,0,39.269,1,1,"stool","Denmark","no",29846,"above",29846,"old","3"
"332","D40","CD034G.2",10,120.885,1.909,1.949,15,0,120.885,1,1,"stool","Denmark","no",8749,"below",8749,"old","2"
"333","D400","CD378X.4",18,151.347,1.868,2.051,15,0,151.347,2,5,"stool","Denmark","no",46868,"above",46868,"new","4"
"334","D401","CD379Q.4",18,103.337,1.881,1.979,15,0,103.337,2,5,"stool","Denmark","no",43142,"above",43142,"new","4"
"335","D402","CD380S.4",18,85.638,1.864,1.766,15,0,85.638,2,5,"stool","Denmark","no",27051,"above",27051,"new","4"
"336","D403","CD382E.4",18,26.472,1.816,1.674,15,0,26.472,2,5,"stool","Denmark","no",37890,"above",37890,"new","4"
"343","D41","CD034G.3",10,75.77,1.936,1.993,15,0,75.77,1,1,"stool","Denmark","no",28241,"above",28241,"old","3"
"350","D416","CD114Z.4b",19,169.541,1.848,1.982,1.76948348776992,13.2305165122301,20,2,5,"stool","Denmark","yes",48720,"above",48720,"new","4"
"354","D42","CD034G.4",10,13.057,1.929,0.874,15,0,13.057,1,1,"stool","Denmark","no",58964,"above",58950,"old","4"
"365","D43","CD039X.2",10,36.09,1.947,1.518,15,0,36.09,1,1,"stool","Denmark","no",18534,"above",18534,"old","2"
"376","D44","CD039X.3",10,37.693,1.948,1.722,15,0,37.693,1,1,"stool","Denmark","no",25458,"above",25458,"old","3"
"381","D444","CD060H.2",19,105.832,1.86,2.131,15,0,105.832,2,5,"stool","Denmark","no",11708,"below",11708,"new","2"
"382","D445","CD060H.3",19,73.214,1.83,2.174,15,0,73.214,2,5,"stool","Denmark","no",24890,"above",24890,"new","3"
"383","D446","CD060H.4",19,64.281,1.789,2.115,15,0,64.281,2,5,"stool","Denmark","no",16394,"above",16394,"new","4"
"387","D45","CD039X.4",10,146.442,1.912,2.011,15,0,146.442,1,1,"stool","Denmark","no",15548,"above",15548,"old","4"
"398","D46","CD044X.2",10,69.049,1.927,1.705,15,0,69.049,1,1,"stool","Denmark","no",14178,"above",14178,"old","2"
"409","D47","CD044X.3",10,30.423,2.06,1.429,15,0,30.423,1,1,"stool","Denmark","no",31922,"above",31922,"old","3"
"420","D48","CD044X.4",10,90.556,1.935,1.926,15,0,90.556,1,1,"stool","Denmark","no",18941,"above",18941,"old","4"
"441","D5","CD003O.4",9,61.698,1.971,1.999,15,0,61.698,1,1,"stool","Denmark","no",31079,"above",31079,"old","4"
"443","D500","CD204J.2",20,51.087,1.881,1.897,15,0,51.087,2,6,"stool","Denmark","no",16411,"above",16411,"new","2"
"444","D501","CD204J.3x",24,7.345,3.317,1.315,15,0,7.345,2,6,"stool","Denmark","no",21110,"above",21110,"new","3"
"445","D502","CD204J.4",20,200.732,1.859,1.968,15,0,200.732,2,6,"stool","Denmark","no",15517,"above",15517,"new","4"
"475","D53","CD050Q.2",10,26.42,1.951,1.651,15,0,26.42,1,1,"stool","Denmark","no",51133,"above",51133,"old","2"
"486","D54","CD050Q.3",10,199.382,1.907,2.052,15,0,199.382,1,1,"stool","Denmark","no",12086,"below",12086,"old","3"
"497","D55","CD050Q.4",10,46.215,1.939,1.588,15,0,46.215,1,1,"stool","Denmark","no",19921,"above",19921,"old","4"
"508","D56","CD051J.2",10,81.547,1.939,1.915,15,0,81.547,1,1,"stool","Denmark","no",14863,"above",14863,"old","2"
"519","D57","CD051J.3",10,67.775,1.965,1.781,15,0,67.775,1,1,"stool","Denmark","no",34102,"above",34102,"old","3"
"528","D579","CD338H.2",22,92.336,1.926,2.024,15,0,92.336,2,7,"stool","Denmark","no",27082,"above",27082,"new","2"
"529","D58","CD051J.4",10,49.274,1.967,1.676,15,0,49.274,1,1,"stool","Denmark","no",24965,"above",24965,"old","4"
"530","D580","CD338H.3",22,58.516,1.963,2.066,15,0,58.516,2,7,"stool","Denmark","no",30286,"above",30286,"new","3"
"531","D581","CD338H.4",22,210.948,1.926,2.106,15,0,210.948,2,7,"stool","Denmark","no",14230,"above",14230,"new","4"
"532","D582","CD339A.2",22,125.226,1.887,2.193,15,0,125.226,2,7,"stool","Denmark","no",38654,"above",38654,"new","2"
"533","D583","CD339A.3",22,37.726,1.967,1.805,15,0,37.726,2,7,"stool","Denmark","no",22370,"above",22370,"new","3"
"534","D584","CD339A.4",22,48.599,1.997,1.629,15,0,48.599,2,7,"stool","Denmark","no",17630,"above",17630,"new","4"
"535","D585","CD344A.2",22,36.598,1.991,1.709,15,0,36.598,2,7,"stool","Denmark","no",27510,"above",27510,"new","2"
"536","D586","CD344A.3",22,90.728,1.955,2.02,15,0,90.728,2,7,"stool","Denmark","no",15922,"above",15922,"new","3"
"537","D587","CD344A.4",22,88.799,1.951,2.028,15,0,88.799,2,7,"stool","Denmark","no",21650,"above",21650,"new","4"
"538","D588","CD346M.2",22,49.294,1.988,1.828,15,0,49.294,2,7,"stool","Denmark","no",36979,"above",36979,"new","2"
"539","D589","CD346M.3",22,146.227,1.934,2.071,15,0,146.227,2,7,"stool","Denmark","no",7098,"below",7098,"new","3"
"540","D59","CD053V.2",10,84.538,1.93,1.878,15,0,84.538,1,1,"stool","Denmark","no",16907,"above",16907,"old","2"
"541","D590","CD346M.4",22,74.299,1.951,2.038,15,0,74.299,2,7,"stool","Denmark","no",17965,"above",17965,"new","4"
"542","D591","CD349R.2",22,12.061,2.341,1.426,15,0,12.061,2,7,"stool","Denmark","no",17903,"above",17903,"new","2"
"543","D592","CD349R.3",22,257.945,1.907,2.119,13.9564635871988,1.04353641280118,240,2,7,"stool","Denmark","no",8004,"below",8004,"new","3"
"544","D593","CD349R.4",22,264.596,1.898,2.091,13.6056478555987,1.39435214440128,240,2,7,"stool","Denmark","no",12168,"above",12168,"new","4"
"547","D596","CD350T.2",22,235.883,1.908,2.17,15,0,235.883,2,7,"stool","Denmark","no",14079,"above",14079,"new","2"
"548","D597","CD350T.3",22,104.563,1.922,2.045,15,0,104.563,2,7,"stool","Denmark","no",22505,"above",22505,"new","3"
"549","D598","CD350T.4",22,53.532,2.001,1.829,15,0,53.532,2,7,"stool","Denmark","no",13857,"above",13857,"new","4"
"550","D599","CD351M.2",22,93.903,1.933,2.106,15,0,93.903,2,7,"stool","Denmark","no",21230,"above",21230,"new","2"
"552","D60","CD053V.3",10,193.074,1.927,2.047,15,0,193.074,1,1,"stool","Denmark","no",9765,"below",9765,"old","3"
"553","D600","CD351M.3x",24,43.184,2.082,2.08,15,0,43.184,2,7,"stool","Denmark","no",17925,"above",17925,"new","3"
"554","D601","CD351M.4x",24,17.405,2.481,1.412,15,0,17.405,2,7,"stool","Denmark","no",18623,"above",18623,"new","4"
"555","D602","CD353Y.2",22,44.85,2.024,1.765,15,0,44.85,2,7,"stool","Denmark","no",22259,"above",22259,"new","2"
"556","D603","CD353Y.3",22,70.098,1.949,1.988,15,0,70.098,2,7,"stool","Denmark","no",18226,"above",18226,"new","3"
"557","D604","CD353Y.4",22,23.175,2.136,1.47,15,0,23.175,2,7,"stool","Denmark","no",30765,"above",30765,"new","4"
"563","D61","CD053V.4",10,205.229,1.885,1.907,15,0,205.229,1,1,"stool","Denmark","no",11139,"below",11139,"old","4"
"574","D70","CD058M.2",10,14.178,2.524,1.089,15,0,14.178,1,1,"stool","Denmark","no",36155,"above",36155,"old","2"
"575","D71","CD058M.3",10,78.084,1.967,2.076,15,0,78.084,1,1,"stool","Denmark","no",33857,"above",33857,"old","3"
"576","D72","CD058M.4",10,130.095,1.912,2.113,15,0,130.095,1,1,"stool","Denmark","no",38926,"above",38926,"old","4"
"577","D73","CD061A.2",10,22.387,2.27,1.301,15,0,22.387,1,1,"stool","Denmark","no",43240,"above",43240,"old","2"
"578","D74","CD061A.3",10,32.721,2.109,1.519,15,0,32.721,1,1,"stool","Denmark","no",26746,"above",26746,"old","3"
"579","D75","CD061A.4",10,146.78,1.886,1.973,15,0,146.78,1,1,"stool","Denmark","no",45074,"above",45074,"old","4"
"582","D78","CD062T.2",11,19.022,1.793,2.146,15,0,19.022,1,1,"stool","Denmark","no",31974,"above",31974,"old","2"
"583","D79","CD062T.3",11,24.114,1.842,2.022,15,0,24.114,1,1,"stool","Denmark","no",20643,"above",20643,"old","3"
"585","D80","CD062T.4",11,28.046,2.006,1.814,15,0,28.046,1,1,"stool","Denmark","no",27677,"above",27677,"old","4"
"586","D81","CD063M.2",11,33.922,1.919,2,15,0,33.922,1,1,"stool","Denmark","no",37740,"above",37740,"old","2"
"587","D82","CD063M.3",11,96.51,1.876,2.129,15,0,96.51,1,1,"stool","Denmark","no",26035,"above",26035,"old","3"
"588","D83","CD063M.4",11,49.172,1.88,2.121,15,0,49.172,1,1,"stool","Denmark","no",41582,"above",41582,"old","4"
"592","D87","CD068D.2",11,27.181,1.895,2.086,15,0,27.181,1,1,"stool","Denmark","no",56486,"above",56486,"old","2"
"593","D88","CD068D.3",11,44.087,1.875,2.084,15,0,44.087,1,1,"stool","Denmark","no",35415,"above",35415,"old","3"
"594","D89","CD068D.4",11,235.253,1.876,2.101,15,0,235.253,1,1,"stool","Denmark","no",10317,"below",10317,"old","4"
"595","D9","CD005A.2",9,94.837,1.919,2.176,15,0,94.837,1,1,"stool","Denmark","no",21014,"above",21014,"old","2"
"596","D90","CD070Y.2",11,28.007,1.934,1.917,15,0,28.007,1,1,"stool","Denmark","no",36813,"above",36813,"old","2"
"597","D91","CD070Y.3",11,29.65,1.912,1.854,15,0,29.65,1,1,"stool","Denmark","no",31647,"above",31647,"old","3"
"598","D92","CD070Y.4",11,78.185,1.899,2.064,15,0,78.185,1,1,"stool","Denmark","no",32280,"above",32280,"old","4"
"599","D93","CD071R.2",11,197.605,1.89,2.174,15,0,197.605,1,1,"stool","Denmark","no",22483,"above",22483,"old","2"
"600","D94","CD071R.3",11,168.046,1.905,2.189,15,0,168.046,1,1,"stool","Denmark","no",7011,"below",7011,"old","3"
"601","D95","CD071R.4",11,161.551,1.855,2.101,15,0,161.551,1,1,"stool","Denmark","no",14320,"above",14320,"old","4"
"603","D98","CD072K.2",11,17.41,1.848,0.649,15,0,17.41,1,2,"stool","Denmark","no",31142,"above",31142,"old","2"
"604","D99","CD072K.3",11,247.554,1.891,2.147,14.5422816839962,0.457718316003781,240,1,2,"stool","Denmark","no",25725,"above",25725,"old","3"
