"sample-id"	"extraction-id"	"dna-extraction-batch"	"nanodrop-dna-concentration-ng-per-uL"	"A260-A280"	"A230-A260"	"DNA-volume-sent-for-library-prep-in-uL"	"water-volume-added-to-dilute-DNA-in-uL"	"DNA-concentration-sent-to-Dalhousie-nanodrop-ng-per-uL"	"sequencing-batch"	"plate-batch"	"sample-type"	"country"	"replicate"	"read_depth_afterDADA2"	"read-depth-compared-to-blanks"	"read_depth_afterTaxaRemoval"	"bead-basher-used"
"D125"	"Mock_12.1"	"12"	"4.0019999999999998"	"2.306"	"0.75800000000000001"	"15"	"0"	"4.0019999999999998"	"1"	"2"	"mock"	""	"no"	18650	"above"	18650	"old"
"D126"	"CD093L.2"	"12"	"29.4"	"1.8380000000000001"	"2.0019999999999998"	"15"	"0"	"29.4"	"1"	"2"	"stool"	"Denmark"	"no"	25820	"above"	25820	"old"
"D127"	"CD093L.3"	"12"	"101.873"	"1.913"	"2.12"	"15"	"0"	"101.873"	"1"	"2"	"stool"	"Denmark"	"no"	7941	"below"	7941	"old"
"D128"	"CD093L.4"	"12"	"47.137999999999998"	"1.921"	"1.84"	"15"	"0"	"47.137999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	20045	"above"	20045	"old"
"D129"	"CD096Q.2"	"12"	"54.6"	"1.8979999999999999"	"1.9279999999999999"	"15"	"0"	"54.6"	"1"	"2"	"stool"	"Denmark"	"no"	24690	"above"	24690	"old"
"D13"	"CD007M.3"	"9"	"213.23599999999999"	"1.9179999999999999"	"2.1339999999999999"	"15"	"0"	"213.23599999999999"	"1"	"1"	"stool"	"Denmark"	"no"	10160	"below"	10160	"old"
"D130"	"CD096Q.3"	"12"	"68.376000000000005"	"1.899"	"1.9670000000000001"	"15"	"0"	"68.376000000000005"	"1"	"2"	"stool"	"Denmark"	"no"	7630	"below"	7630	"old"
"D131"	"CD096Q.4"	"12"	"47.154000000000003"	"1.91"	"1.994"	"15"	"0"	"47.154000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	21417	"above"	21417	"old"
"D132"	"CD099V.2"	"12"	"72.817999999999998"	"1.899"	"2.097"	"15"	"0"	"72.817999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	7703	"below"	7703	"old"
"D133"	"CD099V.3"	"12"	"82.441000000000003"	"1.8740000000000001"	"2.2080000000000002"	"15"	"0"	"82.441000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	685	"below"	685	"old"
"D134"	"CD099V.4"	"12"	"56.55"	"1.8839999999999999"	"1.9770000000000001"	"15"	"0"	"56.55"	"1"	"2"	"stool"	"Denmark"	"no"	22655	"above"	22655	"old"
"D135"	"CD101D.2"	"12"	"209.655"	"1.8939999999999999"	"2.1309999999999998"	"15"	"0"	"209.655"	"1"	"2"	"stool"	"Denmark"	"no"	1367	"below"	1367	"old"
"D136"	"CD101D.3"	"12"	"12.843"	"2.0489999999999999"	"1.401"	"15"	"0"	"12.843"	"1"	"2"	"stool"	"Denmark"	"no"	7571	"below"	7571	"old"
"D137"	"CD101D.4"	"12"	"163.96299999999999"	"1.869"	"1.748"	"15"	"0"	"163.96299999999999"	"1"	"2"	"stool"	"Denmark"	"no"	20021	"above"	20019	"old"
"D138"	"CD104I.2"	"12"	"51.529000000000003"	"1.919"	"1.9139999999999999"	"15"	"0"	"51.529000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	23521	"above"	23521	"old"
"D139"	"CD104I.3"	"12"	"206.75"	"1.8939999999999999"	"2.1179999999999999"	"15"	"0"	"206.75"	"1"	"2"	"stool"	"Denmark"	"no"	12485	"above"	12485	"old"
"D14"	"CD007M.4"	"9"	"190.48599999999999"	"1.915"	"2.0739999999999998"	"15"	"0"	"190.48599999999999"	"1"	"1"	"stool"	"Denmark"	"no"	16302	"above"	16302	"old"
"D140"	"CD104I.4"	"12"	"150.68600000000001"	"1.87"	"1.712"	"15"	"0"	"150.68600000000001"	"1"	"2"	"stool"	"Denmark"	"no"	10742	"below"	10742	"old"
"D141"	"CD107N.2"	"12"	"174.94499999999999"	"1.8959999999999999"	"1.96"	"15"	"0"	"174.94499999999999"	"1"	"2"	"stool"	"Denmark"	"no"	5	"below"	5	"old"
"D142"	"CD107N.3"	"12"	"120.806"	"1.915"	"2.1269999999999998"	"15"	"0"	"120.806"	"1"	"2"	"stool"	"Denmark"	"no"	3043	"below"	3043	"old"
"D143"	"CD107N.4"	"12"	"228.733"	"1.889"	"2.1429999999999998"	"15"	"0"	"228.733"	"1"	"2"	"stool"	"Denmark"	"no"	14526	"above"	14526	"old"
"D144"	"Blank_12.2"	"12"	"1.3029999999999999"	"139.13999999999999"	"0.19700000000000001"	"15"	"0"	"1.3029999999999999"	"1"	"2"	"blank"	""	"no"	116	"below"	116	"old"
"D145"	"CD109Z.2"	"12"	"46.314999999999998"	"1.9259999999999999"	"1.7649999999999999"	"15"	"0"	"46.314999999999991"	"1"	"2"	"stool"	"Denmark"	"no"	36685	"above"	36685	"old"
"D146"	"CD109Z.3"	"12"	"205.44499999999999"	"1.899"	"2.1419999999999999"	"15"	"0"	"205.44499999999999"	"1"	"2"	"stool"	"Denmark"	"no"	11434	"below"	11434	"old"
"D147"	"CD109Z.4"	"12"	"158.911"	"1.8979999999999999"	"2.0920000000000001"	"15"	"0"	"158.911"	"1"	"2"	"stool"	"Denmark"	"no"	4610	"below"	4610	"old"
"D148"	"CD112N.2"	"12"	"38.378999999999998"	"1.92"	"1.98"	"15"	"0"	"38.378999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	22697	"above"	22697	"old"
"D149"	"CD112N.3"	"12"	"115.598"	"1.915"	"2.1019999999999999"	"15"	"0"	"115.598"	"1"	"2"	"stool"	"Denmark"	"no"	8984	"below"	8984	"old"
"D15"	"CD008F.2"	"9"	"134.09299999999999"	"1.93"	"2.16"	"15"	"0"	"134.09299999999999"	"1"	"1"	"stool"	"Denmark"	"no"	7145	"below"	7145	"old"
"D150"	"CD112N.4"	"12"	"92.31"	"1.899"	"2.093"	"15"	"0"	"92.31"	"1"	"2"	"stool"	"Denmark"	"no"	6761	"below"	6761	"old"
"D151"	"CD114Z.2"	"12"	"102.334"	"1.91"	"2.1160000000000001"	"15"	"0"	"102.334"	"1"	"2"	"stool"	"Denmark"	"no"	12753	"above"	12753	"old"
"D152"	"CD114Z.3"	"12"	"101.232"	"1.9350000000000001"	"2.1120000000000001"	"15"	"0"	"101.232"	"1"	"2"	"stool"	"Denmark"	"no"	9002	"below"	9002	"old"
"D153"	"CB112N.4"	"7"	"57.237000000000002"	"1.8859999999999999"	"1.8340000000000001"	"5.2413648514073063"	"9.7586351485926937"	"20"	"1"	"2"	"stool"	"Bangladesh"	"yes"	26067	"above"	26067	"old"
"D154"	"CB117E.3"	"8"	"216.79599999999999"	"1.8839999999999999"	"2.1779999999999999"	"1.3837893688075427"	"13.616210631192457"	"20"	"1"	"2"	"stool"	"Bangladesh"	"yes"	16473	"above"	16473	"old"
"D155"	"CB131C.3"	"9"	"134.999"	"1.9"	"2.0379999999999998"	"2.2222386832495058"	"12.777761316750494"	"20"	"1"	"2"	"stool"	"Bangladesh"	"yes"	21318	"above"	21318	"old"
"D156"	"CD114Z.4"	"12"	"222.154"	"1.889"	"2.1"	"1.3504145772752236"	"13.649585422724776"	"20"	"1"	"2"	"stool"	"Denmark"	"yes"	20589	"above"	20589	"old"
"D157"	"CD118X.2"	"12"	"42.756999999999998"	"1.9159999999999999"	"2.0409999999999999"	"15"	"0"	"42.756999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	27419	"above"	27419	"old"
"D158"	"CD118X.3"	"12"	"27.835000000000001"	"1.9179999999999999"	"1.6910000000000001"	"15"	"0"	"27.835000000000001"	"1"	"2"	"stool"	"Denmark"	"no"	23332	"above"	23332	"old"
"D159"	"CD118X.4"	"12"	"120.03"	"1.877"	"1.653"	"15"	"0"	"120.03"	"1"	"2"	"stool"	"Denmark"	"no"	8404	"below"	8404	"old"
"D16"	"CD008F.3"	"9"	"197.88800000000001"	"1.93"	"2.2050000000000001"	"15"	"0"	"197.88800000000001"	"1"	"1"	"stool"	"Denmark"	"no"	2272	"below"	2272	"old"
"D160"	"CD119Q.2"	"12"	"28.956"	"1.9850000000000001"	"1.9179999999999999"	"15"	"0"	"28.956"	"1"	"2"	"stool"	"Denmark"	"no"	28426	"above"	28426	"old"
"D161"	"CD119Q.3"	"12"	"40.39"	"2.0339999999999998"	"1.196"	"15"	"0"	"40.39"	"1"	"2"	"stool"	"Denmark"	"no"	10364	"below"	10364	"old"
"D162"	"CD119Q.4"	"12"	"120.104"	"1.9379999999999999"	"2.0390000000000001"	"15"	"0"	"120.104"	"1"	"2"	"stool"	"Denmark"	"no"	6963	"below"	6963	"old"
"D163"	"CD122E.2"	"12"	"87.522999999999996"	"1.897"	"2.0459999999999998"	"15"	"0"	"87.522999999999996"	"1"	"2"	"stool"	"Denmark"	"no"	28103	"above"	28103	"old"
"D164"	"CD122E.3"	"12"	"17.503"	"2.0489999999999999"	"1.425"	"15"	"0"	"17.503"	"1"	"2"	"stool"	"Denmark"	"no"	38163	"above"	38163	"old"
"D165"	"CD122E.4"	"12"	"176.339"	"1.8919999999999999"	"2.0529999999999999"	"15"	"0"	"176.339"	"1"	"2"	"stool"	"Denmark"	"no"	2703	"below"	2703	"old"
"D166"	"CD124Q.2"	"12"	"150.536"	"1.885"	"2.2650000000000001"	"15"	"0"	"150.536"	"1"	"2"	"stool"	"Denmark"	"no"	25025	"above"	25025	"old"
"D167"	"CD124Q.3"	"12"	"57.744999999999997"	"1.9410000000000001"	"2.073"	"15"	"0"	"57.744999999999997"	"1"	"2"	"stool"	"Denmark"	"no"	27412	"above"	27412	"old"
"D168"	"CD124Q.4"	"12"	"103.04900000000001"	"1.899"	"1.976"	"15"	"0"	"103.04900000000001"	"1"	"2"	"stool"	"Denmark"	"no"	23976	"above"	23976	"old"
"D169"	"CD126C.2"	"12"	"125.06399999999999"	"1.92"	"2.2029999999999998"	"15"	"0"	"125.06399999999999"	"1"	"2"	"stool"	"Denmark"	"no"	30816	"above"	30816	"old"
"D17"	"CD008F.4"	"9"	"217.42"	"1.891"	"2.0409999999999999"	"15"	"0"	"217.42"	"1"	"1"	"stool"	"Denmark"	"no"	3667	"below"	3667	"old"
"D170"	"CD126C.3"	"12"	"103.343"	"1.9630000000000001"	"2.0960000000000001"	"15"	"0"	"103.343"	"1"	"2"	"stool"	"Denmark"	"no"	10535	"below"	10535	"old"
"D171"	"CD126C.4"	"12"	"240.142"	"1.905"	"2.0880000000000001"	"14.991130247936638"	"8.8697520633616023E-3"	"240"	"1"	"2"	"stool"	"Denmark"	"no"	10030	"below"	10030	"old"
"D172"	"CD128O.2"	"12"	"115.45"	"1.92"	"2.1280000000000001"	"15"	"0"	"115.45"	"1"	"2"	"stool"	"Denmark"	"no"	9426	"below"	9426	"old"
"D173"	"CD128O.3"	"12"	"75.56"	"1.96"	"1.9359999999999999"	"15"	"0"	"75.56"	"1"	"2"	"stool"	"Denmark"	"no"	23136	"above"	23136	"old"
"D174"	"CD128O.4"	"12"	"174.32"	"1.901"	"2.1840000000000002"	"15"	"0"	"174.32"	"1"	"2"	"stool"	"Denmark"	"no"	18412	"above"	18412	"old"
